,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Explicit,External URLs
63,"Yaar Naa Miley (From ""Kick"")","Yo Yo Honey Singh, Jasmine Sandlas",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,0qzuXwxORXTwSsBU2aJGj5,68,2018-03-12,False,https://open.spotify.com/track/0qzuXwxORXTwSsBU2aJGj5
64,"Aata Majhi Satakli (From ""Singham Returns"")","Yo Yo Honey Singh, Mamta Sharma, Nitu Choudhary",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,6KLeHx8RVLxmjp7IhieSsH,45,2018-03-12,False,https://open.spotify.com/track/6KLeHx8RVLxmjp7IhieSsH
65,"Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")","Yo Yo Honey Singh, Neha Kakkar, Navraj Hans",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,21Pn6p1f7GyZ7FurZYnJc5,48,2018-03-12,False,https://open.spotify.com/track/21Pn6p1f7GyZ7FurZYnJc5
66,"Sunny Sunny (From ""Yaariyan"")","Yo Yo Honey Singh, Neha Kakkar",Yo Yo Honey Singh Is Back,1xXv2wox60JAkIKUl8QwWp,1TaeNA6443E9MHtbGXV0s8,61,2018-03-12,False,https://open.spotify.com/track/1TaeNA6443E9MHtbGXV0s8
67,All Black,"Raftaar, Sukh-E Muzical Doctorz, Jaani",All Black,6YqX6js3JsQvNSYxKPNvjH,7n6AQKpZUGiJM2auF3yuDY,61,2015-10-10,False,https://open.spotify.com/track/7n6AQKpZUGiJM2auF3yuDY
68,Daaru Party,Millind Gaba,Daaru Party,7q69B8KDb7cglbfxQQzk8u,5c4mS0wVYTmRrE7S9ZmcyX,50,2015-11-29,False,https://open.spotify.com/track/5c4mS0wVYTmRrE7S9ZmcyX
69,,,,7gv0kaTU2gzN4w3HsGgleO,79MHQXymz8cGX8OOAjXn7J,0,0000,False,https://open.spotify.com/track/79MHQXymz8cGX8OOAjXn7J
70,Kamariya,"Aastha Gill, Sachin Sanghvi, Jigar Saraiya, Divya Kumar",Stree,2Z1LgolP3fqxEJ89MS7n9C,5cjVsWqIkBQC7acTRhL0RO,70,2018-08-22,False,https://open.spotify.com/track/5cjVsWqIkBQC7acTRhL0RO
71,Oh Ho Ho Ho (Remix),"Sukhbir, Ikka",Hindi Medium,5wUJ0hK8HJMpf5WEotPihO,3F0I9AkbRwz12yz7Hxn0bF,62,2017-04-21,False,https://open.spotify.com/track/3F0I9AkbRwz12yz7Hxn0bF
72,"Birthday Bash (From ""Dilliwaali Zaalim Girlfriend"")","Yo Yo Honey Singh, Alfaaz",Super Hits Of Yo Yo Honey Singh,3QiwVIciEpzLwgHUugRvP5,4qhU1lAxys4UVlHHQeFr6J,55,2020-05-25,False,https://open.spotify.com/track/4qhU1lAxys4UVlHHQeFr6J
73,OH HO HO HO (Original Song),Sukhbir,OH HO HO HO (Original Song),5rjzvC3sxusUuShz1paV9R,3NpNTYETMcXspfs8hE8T7h,52,1999-01-01,False,https://open.spotify.com/track/3NpNTYETMcXspfs8hE8T7h
74,,,,6HBa9wXaZG8WIkhBY8p4aT,4LLvxxkWtt818FNO3cbsdo,0,0000,False,https://open.spotify.com/track/4LLvxxkWtt818FNO3cbsdo
75,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon, Dhvani Bhanushali, Tanishk Bagchi","Psycho Saiyaan (From ""Saaho"")",1sywArD1z0FvcfsN1MK9GE,3ZjMdVOWxQ53FKrmkgCv95,62,2019-07-08,False,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
76,Hookah Bar,"Himesh Reshammiya, Vineet Singh, Aaman Trikha",Khiladi 786,5BoZm7cUUN5BpcXrNk1Z0v,4AoQVhME8Ko6LNm4lV2wwQ,71,2012-10-30,False,https://open.spotify.com/track/4AoQVhME8Ko6LNm4lV2wwQ
77,,,,5Pn4u5kYgcx8cjSmeY6aFu,5raWEZXYAapq6Qw1GIEIkU,0,0000,False,https://open.spotify.com/track/5raWEZXYAapq6Qw1GIEIkU
78,Aankhon Aankhon,Yo Yo Honey Singh,Bhaag Johnny,64ibky4YSK0zcsEhMalO7c,78PDj0uocOvtSJCdOt65qy,63,2015-08-24,False,https://open.spotify.com/track/78PDj0uocOvtSJCdOt65qy
79,"Sheher Ki Ladki (From ""Khandaani Shafakhana"")","Badshah, Tulsi Kumar, Abhijeet, Chandra Dixit",Mesmeric Voice - Tulsi Kumar,4ImAT6aKzDUu41c3cetBOE,6qajA2wXvAI4HMey8b1JVK,39,2019-08-16,False,https://open.spotify.com/track/6qajA2wXvAI4HMey8b1JVK
80,Vele,"Vishal-Shekhar, Vishal Dadlani, Shekhar Ravjiani",Student of the Year (Original Motion Picture Soundtrack),1Q9pYTcpVfz0eJTZZczELy,31phvnfUfwzi0nf3dO814j,66,2012-08-31,False,https://open.spotify.com/track/31phvnfUfwzi0nf3dO814j
81,"Abhi Toh Party Shuru Hui Hai (From ""Khoobsurat"")","Badshah, Aastha",Badshah Party Hits,110clEeXAiACmSXM78nK0h,51ZN0MyxxJ0VmCN2Hlscfw,59,2020-05-25,False,https://open.spotify.com/track/51ZN0MyxxJ0VmCN2Hlscfw
